path,owner,scope,write_allowed,protected,notes
.claude/agents/conda-debug-runner.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
.claude/agents/doc-writer.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
.claude/settings.json,worker-claude,config,yes,no,Generated Phase 1 ownership seed for batch B1-CLAUDE
.claude/skills/spec-writer/SKILL.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
.cursor/rules/coderun.mdc,worker-cursor,other,yes,no,Generated Phase 1 ownership seed for batch B2-CURSOR
.cursor/rules/git.mdc,worker-cursor,other,yes,no,Generated Phase 1 ownership seed for batch B2-CURSOR
.cursor/rules/reference.mdc,worker-cursor,other,yes,no,Generated Phase 1 ownership seed for batch B2-CURSOR
.github/chatmodes/vscode_copilot_cfg.chatmode.md,team-leader,shared-config,leader-only,yes,Generated Phase 1 ownership seed for batch B0-SHARED
.gitignore,worker-root,other,yes,no,Generated Phase 1 ownership seed for batch B13-ROOT
.trae/documents/plan_20260212_195149.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
CLAUDE.md,team-leader,shared-config,leader-only,yes,Generated Phase 1 ownership seed for batch B0-SHARED
GUROBI_ENV_TESTING_SUMMARY.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
README.md,team-leader,shared-config,leader-only,yes,Generated Phase 1 ownership seed for batch B0-SHARED
TEST_SCRIPT_UPDATE_SUMMARY.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
TODO.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
__init__.py,worker-root,python,yes,no,Generated Phase 1 ownership seed for batch B13-ROOT
allocator_agent.py,worker-root,python,yes,no,Generated Phase 1 ownership seed for batch B13-ROOT
analyze/UE_extract.py,worker-analyze,python,yes,no,Generated Phase 1 ownership seed for batch B3-ANALYZE
analyze/__init__.py,worker-analyze,python,yes,no,Generated Phase 1 ownership seed for batch B3-ANALYZE
analyze/analyze_ctx_switch.py,worker-analyze,python,yes,no,Generated Phase 1 ownership seed for batch B3-ANALYZE
analyze/analyze_timing.py,worker-analyze,python,yes,no,Generated Phase 1 ownership seed for batch B3-ANALYZE
analyze/analyze_tp.py,worker-analyze,python,yes,no,Generated Phase 1 ownership seed for batch B3-ANALYZE
analyze/pattern.py,worker-analyze,python,yes,no,Generated Phase 1 ownership seed for batch B3-ANALYZE
analyze/stat_num_exec.py,worker-analyze,python,yes,no,Generated Phase 1 ownership seed for batch B3-ANALYZE
analyze/xlsl_e2e_lat_abla.py,worker-analyze,python,yes,no,Generated Phase 1 ownership seed for batch B3-ANALYZE
analyze/xlsl_e2e_latency.py,worker-analyze,python,yes,no,Generated Phase 1 ownership seed for batch B3-ANALYZE
analyze/xlsl_max_tp.py,worker-analyze,python,yes,no,Generated Phase 1 ownership seed for batch B3-ANALYZE
analyze/xlsl_min_core.py,worker-analyze,python,yes,no,Generated Phase 1 ownership seed for batch B3-ANALYZE
analyze/xlsl_safe_scalable.py,worker-analyze,python,yes,no,Generated Phase 1 ownership seed for batch B3-ANALYZE
appoach_plot6.py,worker-root,python,yes,no,Generated Phase 1 ownership seed for batch B13-ROOT
approach/approach_Eq.py,codex,python,yes,no,B28 direct package implementation; root compatibility shell retired
approach/approach_collector.py,codex,python,yes,no,B28 direct package implementation; root compatibility shell retired
approach/approach_def.py,codex,python,yes,no,B28 direct package implementation; root compatibility shell retired
approach/approach_initiator.py,codex,python,yes,no,B28 direct package implementation; root compatibility shell retired
approach/approach_sched.py,codex,python,yes,no,B28 direct package implementation; root compatibility shell retired
approach/approach_setup.py,codex,python,yes,no,B28 direct package implementation; root compatibility shell retired
approach/approach_sim.py,codex,python,yes,no,B28 direct package implementation; root compatibility shell retired
approach_util33.py,worker-root,python,yes,no,Generated Phase 1 ownership seed for batch B13-ROOT
cfgs/Bp_guided.json,worker-cfgs,config,yes,no,Generated Phase 1 ownership seed for batch B4-CFGS
cfgs/Bp_scratch.json,worker-cfgs,config,yes,no,Generated Phase 1 ownership seed for batch B4-CFGS
cfgs/var_sim_cfg.json,worker-cfgs,config,yes,no,Generated Phase 1 ownership seed for batch B4-CFGS
claude_talk/ala_coding.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
claude_talk/auto-abla.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
claude_talk/auto-repack.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
claude_talk/baseline_allocator.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
claude_talk/compared_allocator.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
claude_talk/explore.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
csv/coalescing_scan/n_bins_1/coalescing_req_cores.csv,worker-csv,other,yes,no,Generated Phase 1 ownership seed for batch B5-CSV
debug_case1/case1/case1_motiv1_style.pdf,worker-debug-case1,other,yes,no,Generated Phase 1 ownership seed for batch B6-DEBUG-CASE1
debug_case1/case1/case1_satisfy_projection.pdf,worker-debug-case1,other,yes,no,Generated Phase 1 ownership seed for batch B6-DEBUG-CASE1
debug_case1/case1/case1_summary.json,worker-debug-case1,config,yes,no,Generated Phase 1 ownership seed for batch B6-DEBUG-CASE1
tests/debug_sink_constraint.py,worker-root,python,yes,no,Generated Phase 1 ownership seed for batch B13-ROOT
doc/ABLA_EXP_FIX_PLAN.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/analytical_report/MOTIV_EXP_SUMMARY.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/analytical_report/PARAMETER_MAPPING_SUMMARY.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/analytical_report/motiv_exp_implementation_check.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/analytical_report/parameter_flow_exec_t_comp_ratio.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/analytical_report/parameter_mapping_correction.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/analytical_report/resource_constraint_dump_coupling.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/assumptions.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
