dependency,top_module,in_requirement_txt,reachable_import_count,total_import_count,status,examples,recommendation
graphviz,graphviz,no,0,2,MISSING_OPTIONAL_OR_LEGACY,optimizer/delta_ver.py:5; optimizer/scheduler_base.py:2,review before adding; appears outside current entrypoint graph
gurobipy,gurobipy,no,5,9,NOT_LISTED_IN_REQUIREMENT_BUT_CONDA_SMOKE_PASSES,sched/packing_solver/chain_slack_assign.py:2; sched/packing_solver/chain_slack_assign.py:3; sched/packing_solver/gurobi_MP_semi2DClst.py:1; sched/packing_solver/gurobi_MP_semi2DClst.py:2; sched/packing_solver/gurobi_semi2Dclst_mapping.py:1; sched/packing_solver/gurobi_semi2Dclst_mapping.py:3; sched/packing_solver/gurobi_semi2Dclst_mapping2.py:1; sched/packing_solver/gurobi_semi2Dclst_mapping2.py:3,review manifest vs supported gurobi Conda environment; not a current runtime blocker
h5py,h5py,no,1,1,NOT_LISTED_IN_REQUIREMENT_BUT_CONDA_SMOKE_PASSES,utils.py:13,review manifest vs supported gurobi Conda environment; not a current runtime blocker
matplotlib,matplotlib,yes,39,46,OK_LISTED,allocator_agent.py:85; analyze/UE_extract.py:4; approach_collector.py:14; approach_collector.py:921; approach_collector.py:1162; approach_collector.py:1532; approach_collector.py:1533; approach_collector.py:2244,keep until runtime tests prove stale
networkx,networkx,no,11,14,NOT_LISTED_IN_REQUIREMENT_BUT_CONDA_SMOKE_PASSES,approach_def.py:6; approach_sched.py:6; approach_util33.py:1; model/message/Context_message.py:4; optimizer/delta_ver.py:17; optimizer/scheduler_base.py:1; sched/global_sched.py:32; sched/slack_estim.py:5,review manifest vs supported gurobi Conda environment; not a current runtime blocker
numpy,numpy,yes,37,48,OK_LISTED,allocator_agent.py:3; allocator_agent.py:558; analyze/analyze_timing.py:6; analyze/analyze_tp.py:4; approach_Eq.py:11; approach_Eq.py:54; approach_collector.py:13; approach_collector.py:2245,keep until runtime tests prove stale
pandas,pandas,yes,4,14,OK_LISTED,analyze/UE_extract.py:2; analyze/analyze_ctx_switch.py:3; analyze/analyze_timing.py:4; analyze/analyze_tp.py:3; analyze/stat_num_exec.py:3; analyze/xlsl_e2e_lat_abla.py:13; analyze/xlsl_e2e_latency.py:1; analyze/xlsl_max_tp.py:1,keep until runtime tests prove stale
psutil,psutil,no,1,1,NOT_LISTED_IN_REQUIREMENT_BUT_CONDA_SMOKE_PASSES,scripts/exp_common.py:25,review manifest vs supported gurobi Conda environment; not a current runtime blocker
pyinstrument,pyinstrument,no,1,1,NOT_LISTED_IN_REQUIREMENT_BUT_CONDA_SMOKE_PASSES,utils.py:297,review manifest vs supported gurobi Conda environment; not a current runtime blocker
pyro-ppl,pyro,no,0,17,MISSING_OPTIONAL_OR_LEGACY,optimizer/delta_ver.py:2; optimizer/delta_ver.py:3; optimizer/delta_ver.py:4; optimizer/delta_ver.py:12; optimizer/delta_ver.py:13; optimizer/delta_ver.py:14; optimizer/delta_ver.py:15; optimizer/delta_ver.py:20,review before adding; appears outside current entrypoint graph
pytest,pytest,no,1,1,NOT_LISTED_IN_REQUIREMENT_BUT_CONDA_SMOKE_PASSES,test_approach_collector.py:14,review manifest vs supported gurobi Conda environment; not a current runtime blocker
scipy,scipy,yes,3,10,OK_LISTED,approach_Eq.py:9; approach_Eq.py:10; model/event_gen/e2e_latency.py:2; model/noc.py:5; model/noc.py:6; optimizer/scheduler_base.py:219; optimizer/scheduler_base.py:160; sched/packing_solver/fit.py:3,keep until runtime tests prove stale
seaborn,seaborn,no,0,1,MISSING_OPTIONAL_OR_LEGACY,optimizer/ops.py:6,review before adding; appears outside current entrypoint graph
tdigest,tdigest,no,1,1,NOT_LISTED_IN_REQUIREMENT_BUT_CONDA_SMOKE_PASSES,ref_tdigest.py:6,review manifest vs supported gurobi Conda environment; not a current runtime blocker
torch,torch,no,0,9,MISSING_OPTIONAL_OR_LEGACY,optimizer/delta_ver.py:1; optimizer/delta_ver.py:11; optimizer/delta_ver.py:16; optimizer/dist_custom.py:1; optimizer/dist_custom.py:2; optimizer/dist_custom.py:3; optimizer/ops.py:1; optimizer/ops_test.py:4,review before adding; appears outside current entrypoint graph
torchsort,torchsort,no,0,1,MISSING_OPTIONAL_OR_LEGACY,optimizer/delta_ver.py:22,review before adding; appears outside current entrypoint graph
tqdm,tqdm,no,1,1,NOT_LISTED_IN_REQUIREMENT_BUT_CONDA_SMOKE_PASSES,mapper/mem_planner.py:34,review manifest vs supported gurobi Conda environment; not a current runtime blocker
bokeh,bokeh,yes,0,0,LISTED_NOT_IMPORTED_STATICALLY,,REVIEW only; may be runtime/plot dependency hidden behind dynamic calls
plotly,plotly,yes,0,0,LISTED_NOT_IMPORTED_STATICALLY,,REVIEW only; may be runtime/plot dependency hidden behind dynamic calls
pyyaml,yaml,yes,0,0,LISTED_NOT_IMPORTED_STATICALLY,,REVIEW only; may be runtime/plot dependency hidden behind dynamic calls
