path,line,risk_type,snippet
allocator_agent.py,64,shell-call,                # TODO: push operation based on the max heap
analyze/UE_extract.py,122,generated-code,"        #     df = df.append({'case': 'generated', 'var_slowdown': point[0], 'var_sen': point[1], 'flag': 'unknown'}, ignore_index=True)"
appoach_plot6.py,35,shell-call,"    # process the event (1. external, 2. finish and reallocate)"
approach_collector.py,332,reflection,"                elif hasattr(item, '__iter__'):"
approach_collector.py,2667,reflection,"            if (getattr(self, dist_name).to_dict() != getattr(loaded_collector, dist_name).to_dict()):"
approach_collector.py,2667,reflection,"            if (getattr(self, dist_name).to_dict() != getattr(loaded_collector, dist_name).to_dict()):"
approach_collector.py,2674,reflection,"            orig_dist_dict = getattr(self, dist_type)"
approach_collector.py,2675,reflection,"            loaded_dist_dict = getattr(loaded_collector, dist_type)"
approach_collector.py,2691,reflection,"            orig_dist_dict = getattr(self, dist_type)"
approach_collector.py,2692,reflection,"            loaded_dist_dict = getattr(loaded_collector, dist_type)"
approach_collector.py,202,shell-call,        # 1. Find the critical path predecessor based on e2e_lat (finish time relative to offset)
approach_collector.py,233,shell-call,        # record finish time
approach_collector.py,545,shell-call,        # 1. Per-task finish time distribution and per-chain E2E latency
approach_collector.py,581,shell-call,        # 5. Overall E2E latency (merging all non-sink task finish time distributions)
approach_collector.py,2517,generated-code,"            # summary and p_list are transient, can be re-generated on load if needed"
approach_collector.py,2617,generated-code,        # summary and p_list are transient and can be re-generated
approach_def.py,208,reflection,"                    if hasattr(dist, 'load_dist') and hasattr(dist, 'exec_dist'):"
approach_def.py,208,reflection,"                    if hasattr(dist, 'load_dist') and hasattr(dist, 'exec_dist'):"
approach_def.py,457,reflection,"        if hasattr(self, 'sys_state'):"
approach_def.py,460,reflection,"        if hasattr(self, 'running'):"
approach_def.py,463,reflection,"        if hasattr(self, 'res_map'):"
approach_def.py,466,reflection,"        if hasattr(self, 'slack_map'):"
approach_def.py,486,reflection,"        if hasattr(self, 'running') and self.running:"
approach_def.py,490,reflection,"        if hasattr(self, 'ready'):"
approach_def.py,493,reflection,"            elif hasattr(self.ready, 'qsize') and self.ready.qsize() > 0:"
approach_def.py,497,reflection,"        if hasattr(self, 'res_map') and self.res_map:"
approach_def.py,501,reflection,"        if hasattr(self, 'sys_state') and self.sys_state == ""R"":"
approach_def.py,717,shell-call,"                    print_if_verbose(f""\t[{self.id}] sink {node} finish at {curr_t}"")"
approach_initiator.py,67,reflection,"        for cfg_slot_s, next_cfg, cfg_slot_num in getattr(_bin, ""sparse_list"", []):"
approach_sim.py,61,reflection,"                        for processor in processors if hasattr(processor, 'iter_timeout'))"
approach_sim.py,90,shell-call,"        # process the event (1. external, 2. finish and reallocate)"
approach_util33.py,145,shell-call,"                    print(f""\tsink {node} finish at {curr_t}"")"
approach_util33.py,169,shell-call,"            case 1: complete reallocation progress, new configuration is issued, impose a finish event"
approach_util33.py,170,shell-call,"            case 2: finish event happens, generate new allocation map, "
approach_util33.py,172,shell-call,"            case 3: finish event happens, do not change the allocation map, "
approach_util33.py,173,shell-call,"            continue to execute tasks, and impose a finish event"
approach_util33.py,164,generated-code,"            Compare the alloc_map_prev with the generated alloc_map_curr, "
main_approach.py,22,reflection,"    realloc_disabled = getattr(args, 'barrier_dis', False)"
main_approach.py,65,reflection,"    # if not getattr(args, 'dry_run', False):"
mapper/mem_planner.py,49,shell-call,    # hash function
mapper/mem_planner.py,62,shell-call,    # hash function
model/lru.py,56,shell-call,                # push back the item
model/message/Context_message.py,65,reflection,"    def setattr(self, attr_name, attr_value, cached=False):"
model/message/Context_message.py,70,reflection,"    def getattr(self, attr_name):"
model/message/Context_message.py,123,reflection,                self.msg_context[attr_n] = matched_pair[idx].ctx.getattr(attr_n)
model/message/Context_message.py,136,reflection,                    self.msg_context[attr_n] = trigger.getattr(attr_n)
model/message/Context_message.py,29,shell-call,    # 5. finish time
model/message/Context_message.py,55,generated-code,        # generated data type
model/message/Context_message.py,57,generated-code,        # information of the generated data
model/resource_agent.py,199,shell-call,        # replenish the budget
model/streaming_processing/wartermark_strategy.py,16,generated-code,"    Watermarks are generated at, or directly after, source functions, "
optimizer/delta_ver.py,179,shell-call,                new_finish = IF_curr_t*(1-IF_prev)
optimizer/delta_ver.py,24,solver-gurobi,from optimizer.scheduler_base import SchedulerBase
optimizer/delta_ver.py,31,solver-gurobi,from optimizer.ops import (
optimizer/delta_ver.py,245,solver-gurobi,"        optimizer = ClippedAdam({""lr"": lr, ""clip_norm"": 10.0})"
optimizer/delta_ver.py,253,solver-gurobi,"                  optimizer, "
optimizer/delta_ver.py,299,solver-gurobi,    # scheduler = SchedulingOptimizer()
optimizer/delta_ver.py,305,solver-gurobi,    from optimizer.scheduler_base import draw_computational_graph
optimizer/ops.py,76,shell-call,    Update the finish indicator based on the executed load and the arrival load.
optimizer/scheduler_base.py,10,solver-gurobi,from optimizer.dist_custom import TruncatedNormal
paths.py,43,generated-code,"    # automatically generated config name and path, not initialized "
run/max_core_num_scan.py,1,shell-call,# #!/bin/bash
run/max_core_num_scan.py,79,shell-call,"      subprocess.run(command, stdout=devnull)"
run/max_core_num_scan.py,93,shell-call,"        subprocess.run(command, stdout=devnull)"
run/max_core_num_scan.py,107,shell-call,"        subprocess.run(command, stdout=devnull)"
sched/bin_list_utils.py,1208,reflection,"    if hasattr(item_type, ""update""):"
sched/global_sched.py,98,shell-call,    # try to push the task into the bins in the bin_list
sched/global_sched.py,29,solver-gurobi,from sched.packing_solver.gurobi_MP_semi2DClst import ClusterGurobiSolverSemi2D
sched/global_sched.py,29,solver-gurobi,from sched.packing_solver.gurobi_MP_semi2DClst import ClusterGurobiSolverSemi2D
sched/global_sched.py,29,solver-gurobi,from sched.packing_solver.gurobi_MP_semi2DClst import ClusterGurobiSolverSemi2D
sched/global_sched.py,29,solver-gurobi,from sched.packing_solver.gurobi_MP_semi2DClst import ClusterGurobiSolverSemi2D
sched/global_sched.py,633,solver-gurobi,    # use a gurobi solver to determine the placement of the tasks
sched/global_sched.py,633,solver-gurobi,    # use a gurobi solver to determine the placement of the tasks
sched/global_sched.py,645,solver-gurobi,"    placed_p, bin_name_list, sol, bin_size = gurobi_split_solver("
sched/global_sched.py,645,solver-gurobi,"    placed_p, bin_name_list, sol, bin_size = gurobi_split_solver("
sched/global_sched.py,757,solver-gurobi,"def gurobi_split_solver(glb_p_list, n_partition, _bin_tb_split, job_graph, sorted_chains):"
sched/global_sched.py,757,solver-gurobi,"def gurobi_split_solver(glb_p_list, n_partition, _bin_tb_split, job_graph, sorted_chains):"
sched/global_sched.py,770,solver-gurobi,"        gurobi_obj = ""mux_min_nbin"""
sched/global_sched.py,773,solver-gurobi,"        gurobi_obj = ""colocate_fix_nbin_min_size"""
sched/global_sched.py,779,solver-gurobi,    solver = ClusterGurobiSolverSemi2D(
sched/global_sched.py,779,solver-gurobi,    solver = ClusterGurobiSolverSemi2D(
sched/global_sched.py,779,solver-gurobi,    solver = ClusterGurobiSolverSemi2D(
sched/global_sched.py,780,solver-gurobi,"        M, N, K, J, tbd_p, placed_p, probs, duation, 1000, affinity_dict1, affinity_dict2, mode=gurobi_obj"
sched/global_sched.py,782,solver-gurobi,    solver.create_variables()
sched/global_sched.py,783,solver-gurobi,    solver.create_constraints()
sched/global_sched.py,784,solver-gurobi,"    sel, bin_size = solver.solve()    # filter the empty bins"
sched/global_sched.py,785,solver-gurobi,"    if gurobi_obj == ""mux_min_nbin"":"
sched/global_sched.py,947,solver-gurobi,# def single_turn_solver(
sched/global_sched.py,1049,solver-gurobi,#     from sched.packing_solver.gurobi_semi2Dclst_mapping import GurobiSemi2DClstMapping
sched/global_sched.py,1049,solver-gurobi,#     from sched.packing_solver.gurobi_semi2Dclst_mapping import GurobiSemi2DClstMapping
sched/global_sched.py,1049,solver-gurobi,#     from sched.packing_solver.gurobi_semi2Dclst_mapping import GurobiSemi2DClstMapping
sched/global_sched.py,1067,solver-gurobi,#     mapper =  GurobiSemi2DClstMapping(
sched/packing_solver/chain_slack_assign.py,2,solver-gurobi,import gurobipy as gp
