source,imported,target,line,kind,resolved
allocator_agent.py,typing,,1,from-external-or-unresolved,False
allocator_agent.py,warnings,,2,import,False
allocator_agent.py,os,,2,import,False
allocator_agent.py,numpy,,3,import,False
allocator_agent.py,task.task_agent,task/task_agent.py,4,from,True
allocator_agent.py,task.spec,task/spec.py,5,from,True
allocator_agent.py,model.buffer,model/buffer.py,6,from,True
allocator_agent.py,model.message.msg_dispatcher,model/message/msg_dispatcher.py,7,from,True
allocator_agent.py,model.message.message_pipe,model/message/message_pipe.py,8,from,True
allocator_agent.py,model.message.message_handler,model/message/message_handler.py,9,from,True
allocator_agent.py,multiprocessing,,10,from-external-or-unresolved,False
allocator_agent.py,sched.scheduling_table,sched/scheduling_table.py,83,from,True
allocator_agent.py,model.resource_agent,model/resource_agent.py,84,from,True
allocator_agent.py,matplotlib.pyplot,,85,import,False
allocator_agent.py,global_var,global_var.py,86,from,True
allocator_agent.py,model.task_queue_agent,model/task_queue_agent.py,88,from,True
allocator_agent.py,task.task_agent,task/task_agent.py,89,from,True
allocator_agent.py,copy,,90,import,False
allocator_agent.py,sched.scheduler_agent,sched/scheduler_agent.py,91,from,True
allocator_agent.py,sched.monitor_agent,sched/monitor_agent.py,92,from,True
allocator_agent.py,sched.scheduler_agent,sched/scheduler_agent.py,94,from,True
allocator_agent.py,sched.monitor_agent,sched/monitor_agent.py,95,from,True
allocator_agent.py,task.spec,task/spec.py,96,from,True
allocator_agent.py,model.message.msg_dispatcher,model/message/msg_dispatcher.py,97,from,True
allocator_agent.py,model.message.data_pipe,model/message/data_pipe.py,98,from,True
allocator_agent.py,model.message.Context_message,model/message/Context_message.py,99,from,True
allocator_agent.py,numpy,,558,import,False
allocator_agent.py,pickle,,559,import,False
allocator_agent.py,task.task_cfg,task/task_cfg.py,561,from,True
allocator_agent.py,task.task_cfg,task/task_cfg.py,562,from,True
allocator_agent.py,task.task_cfg,task/task_cfg.py,563,from,True
allocator_agent.py,sched.global_sched,sched/global_sched.py,564,from,True
allocator_agent.py,utils,utils.py,565,from,True
allocator_agent.py,sched.bin_list_utils,sched/bin_list_utils.py,663,from,True
allocator_agent.py,sched.bin_list_utils,sched/bin_list_utils.py,724,from,True
allocator_agent.py,sched.bin_list_utils,sched/bin_list_utils.py,784,from,True
analyze/UE_extract.py,re,,1,import,False
analyze/UE_extract.py,pandas,,2,import,False
analyze/UE_extract.py,argparse,,3,import,False
analyze/UE_extract.py,matplotlib.pyplot,,4,import,False
analyze/analyze_ctx_switch.py,re,,1,import,False
analyze/analyze_ctx_switch.py,functools,,2,from-external-or-unresolved,False
analyze/analyze_ctx_switch.py,pandas,,3,import,False
analyze/analyze_ctx_switch.py,os,,4,import,False
analyze/analyze_ctx_switch.py,analyze.pattern,analyze/pattern.py,6,from,True
analyze/analyze_ctx_switch.py,utils,utils.py,7,from,True
analyze/analyze_ctx_switch.py,argparse,,129,import,False
analyze/analyze_ctx_switch.py,analyze.analyze_tp,analyze/analyze_tp.py,130,from,True
analyze/analyze_ctx_switch.py,utils,utils.py,131,from,True
analyze/analyze_timing.py,re,,1,import,False
analyze/analyze_timing.py,analyze.pattern,analyze/pattern.py,2,from,True
analyze/analyze_timing.py,functools,,3,from-external-or-unresolved,False
analyze/analyze_timing.py,pandas,,4,import,False
analyze/analyze_timing.py,os,,5,import,False
analyze/analyze_timing.py,numpy,,6,import,False
analyze/analyze_timing.py,analyze.stat_num_exec,analyze/stat_num_exec.py,7,from,True
analyze/analyze_timing.py,model.message.Context_message,model/message/Context_message.py,8,from,True
analyze/analyze_timing.py,utils,utils.py,10,from,True
analyze/analyze_timing.py,argparse,,195,import,False
analyze/analyze_timing.py,utils,utils.py,196,from,True
analyze/analyze_timing.py,task.task_cfg,task/task_cfg.py,214,from,True
analyze/analyze_tp.py,re,,1,import,False
analyze/analyze_tp.py,analyze.stat_num_exec,analyze/stat_num_exec.py,2,from,True
analyze/analyze_tp.py,pandas,,3,import,False
analyze/analyze_tp.py,numpy,,4,import,False
analyze/analyze_tp.py,os,,5,import,False
analyze/analyze_tp.py,functools,,6,from-external-or-unresolved,False
analyze/analyze_tp.py,analyze.pattern,analyze/pattern.py,8,from,True
analyze/analyze_tp.py,utils,utils.py,9,from,True
analyze/analyze_tp.py,argparse,,107,import,False
analyze/analyze_tp.py,utils,utils.py,108,from,True
analyze/pattern.py,re,,1,import,False
analyze/pattern.py,os,,1,import,False
analyze/pattern.py,copy,,1,import,False
analyze/pattern.py,typing,,2,from-external-or-unresolved,False
analyze/pattern.py,collections,,3,from-external-or-unresolved,False
analyze/pattern.py,global_var,global_var.py,5,from,True
analyze/stat_num_exec.py,os,,1,import,False
analyze/stat_num_exec.py,argparse,,2,import,False
analyze/stat_num_exec.py,pandas,,3,import,False
analyze/stat_num_exec.py,re,,4,import,False
analyze/stat_num_exec.py,task.task_cfg,task/task_cfg.py,5,from,True
analyze/stat_num_exec.py,task.task_cfg,task/task_cfg.py,6,from,True
analyze/stat_num_exec.py,sched.slack_estim,sched/slack_estim.py,7,from,True
