referenced_path,referrer,line,term,snippet
analyze/__init__.py,.claude/agents/conda-debug-runner.md,24,analyze,   - **Read Error Messages**: Carefully analyze stack traces and error types
approach_setup.py,.claude/agents/conda-debug-runner.md,84,approach_setup.py,- `approach_setup.py`: Benchmark setup pipeline
approach_sim.py,.claude/agents/conda-debug-runner.md,86,approach_sim.py,- `approach_sim.py`: Event-driven simulation
model/__init__.py,.claude/agents/conda-debug-runner.md,4,model,model: inherit
output.pdf,.claude/agents/conda-debug-runner.md,3,output,"description: ""Use this agent when you need to debug Python code in this project that requires the gurobi conda environment. This agent operates with isolated context to save main agent context while maintaining alignment on debugging goals."
output.txt,.claude/agents/conda-debug-runner.md,3,output,"description: ""Use this agent when you need to debug Python code in this project that requires the gurobi conda environment. This agent operates with isolated context to save main agent context while maintaining alignment on debugging goals."
sched/__init__.py,.claude/agents/conda-debug-runner.md,3,sched,"description: ""Use this agent when you need to debug Python code in this project that requires the gurobi conda environment. This agent operates with isolated context to save main agent context while maintaining alignment on debugging goals."
sched/global_sched.py,.claude/agents/conda-debug-runner.md,87,sched/global_sched.py,- `sched/global_sched.py`: Bin-packing algorithms
sched/scheduler_agent.py,.claude/agents/conda-debug-runner.md,88,sched/scheduler_agent.py,- `sched/scheduler_agent.py`: Runtime scheduler
sim_main.py,.claude/agents/conda-debug-runner.md,85,sim_main.py,- `sim_main.py`: Core bin-packing algorithm
.cursor/rules/reference.mdc,.claude/agents/doc-writer.md,50,reference,- Cross-reference related documents when appropriate
doc/sim_flow.md,.claude/agents/doc-writer.md,3,sim_flow.md,"description: ""Use this agent when you need to modify, create, or update documentation files under the doc/ directory. This includes updating specifications in doc/spec/, change logs in doc/change_log_*.md, or any other documentation. This a"
doc/spec/algorithm/guided_hybrid_allocation_algorithm.md,.claude/agents/doc-writer.md,3,guided_hybrid_allocation_algorithm.md,"description: ""Use this agent when you need to modify, create, or update documentation files under the doc/ directory. This includes updating specifications in doc/spec/, change logs in doc/change_log_*.md, or any other documentation. This a"
doc/spec/e2e_sched_sim_flow.md,.claude/agents/doc-writer.md,3,e2e_sched_sim_flow.md,"description: ""Use this agent when you need to modify, create, or update documentation files under the doc/ directory. This includes updating specifications in doc/spec/, change logs in doc/change_log_*.md, or any other documentation. This a"
doc/spec/key_COT.md,.claude/agents/doc-writer.md,3,key_COT.md,"description: ""Use this agent when you need to modify, create, or update documentation files under the doc/ directory. This includes updating specifications in doc/spec/, change logs in doc/change_log_*.md, or any other documentation. This a"
doc/spec/test_plan.md,.claude/agents/doc-writer.md,3,test_plan.md,"description: ""Use this agent when you need to modify, create, or update documentation files under the doc/ directory. This includes updating specifications in doc/spec/, change logs in doc/change_log_*.md, or any other documentation. This a"
model/__init__.py,.claude/agents/doc-writer.md,4,model,model: inherit
paths.py,.claude/agents/doc-writer.md,21,paths,"| e2e_sched_sim_flow.md | ⭐⭐ | Design Specification - Step definitions, parameters, execution paths |"
sched/__init__.py,.claude/agents/doc-writer.md,3,sched,"description: ""Use this agent when you need to modify, create, or update documentation files under the doc/ directory. This includes updating specifications in doc/spec/, change logs in doc/change_log_*.md, or any other documentation. This a"
sched/global_sched.py,.claude/agents/doc-writer.md,3,sched/global_sched.py,"description: ""Use this agent when you need to modify, create, or update documentation files under the doc/ directory. This includes updating specifications in doc/spec/, change logs in doc/change_log_*.md, or any other documentation. This a"
CLAUDE.md,.claude/settings.json,3,CLAUDE,"    ""CLAUDE_CODE_EXPERIMENTAL_AGENT_TEAMS"": ""1"","
run/clean.sh,.claude/settings.json,91,clean,"      ""Bash(git:clean:*)"","
doc/sim_flow.md,.claude/skills/spec-writer/SKILL.md,125,sim_flow.md,e2e_sched_sim_flow.md (设计规范)
doc/spec/e2e_sched_sim_flow.md,.claude/skills/spec-writer/SKILL.md,125,e2e_sched_sim_flow.md,e2e_sched_sim_flow.md (设计规范)
doc/spec/key_COT.md,.claude/skills/spec-writer/SKILL.md,123,key_COT.md,key_COT.md (学术表达)
doc/spec/readme.md,.claude/skills/spec-writer/SKILL.md,120,doc/spec/readme.md,参考 `doc/spec/readme.md` 中的文档层级：
doc/spec/test_plan.md,.claude/skills/spec-writer/SKILL.md,127,test_plan.md,test_plan.md (实现细节)
sched/__init__.py,.claude/skills/spec-writer/SKILL.md,125,sched,e2e_sched_sim_flow.md (设计规范)
approach_collector.py,.trae/documents/plan_20260212_195149.md,6,approach_collector,"2.  **代码复用检查**：脚本通过 `from approach_collector import StatisticsCollector` 成功复用了 motivation 实验的绘图逻辑 (`plot_motiv_case1`, `plot_motiv_case2`) 和基础参数模板，符合“最大化复用”的要求。"
doc/sim_flow.md,.trae/documents/plan_20260212_195149.md,2,sim_flow.md,"1.  **Spec对齐检查**：`scripts/abla_exp_runner.py` 中的 `AblaExp1Runner`, `AblaExp2Runner`, `AblaExp3Runner` 逻辑与 `doc/spec/e2e_sched_sim_flow.md` 中的定义完全一致。"
doc/spec/e2e_sched_sim_flow.md,.trae/documents/plan_20260212_195149.md,2,doc/spec/e2e_sched_sim_flow.md,"1.  **Spec对齐检查**：`scripts/abla_exp_runner.py` 中的 `AblaExp1Runner`, `AblaExp2Runner`, `AblaExp3Runner` 逻辑与 `doc/spec/e2e_sched_sim_flow.md` 中的定义完全一致。"
doc/spec/stat/collector.md,.trae/documents/plan_20260212_195149.md,6,collector,"2.  **代码复用检查**：脚本通过 `from approach_collector import StatisticsCollector` 成功复用了 motivation 实验的绘图逻辑 (`plot_motiv_case1`, `plot_motiv_case2`) 和基础参数模板，符合“最大化复用”的要求。"
output.pdf,.trae/documents/plan_20260212_195149.md,12,output,2.  运行 Case 1 实验：`python -m scripts.abla_exp_runner --case 1 --output_dir ./abla_results --num_hp 100`
output.txt,.trae/documents/plan_20260212_195149.md,12,output,2.  运行 Case 1 实验：`python -m scripts.abla_exp_runner --case 1 --output_dir ./abla_results --num_hp 100`
