path,symbol,symbol_type,line,action_default,status
allocator_agent.py,AllocatorInt,class,12,record-only,SYMBOL_CANDIDATE
allocator_agent.py,sched_step,function,239,record-only,SYMBOL_CANDIDATE
allocator_agent.py,cyclic_sched,function,324,record-only,SYMBOL_CANDIDATE
allocator_agent.py,glb_sched,function,469,record-only,SYMBOL_CANDIDATE
allocator_agent.py,period_boader_display,function,547,record-only,SYMBOL_CANDIDATE
allocator_agent.py,__init__,function,13,record-only,SYMBOL_CANDIDATE
allocator_agent.py,release,function,16,record-only,SYMBOL_CANDIDATE
allocator_agent.py,allocate,function,41,record-only,SYMBOL_CANDIDATE
allocator_agent.py,can_execute,function,71,record-only,SYMBOL_CANDIDATE
analyze/analyze_ctx_switch.py,get_ctx_switch_info,function,11,record-only,SYMBOL_CANDIDATE
analyze/analyze_ctx_switch.py,get_ctx_extracter,function,33,record-only,SYMBOL_CANDIDATE
analyze/analyze_ctx_switch.py,find_core_num,function,65,record-only,SYMBOL_CANDIDATE
analyze/analyze_ctx_switch.py,get_core_num,function,91,record-only,SYMBOL_CANDIDATE
analyze/analyze_ctx_switch.py,extract_ctx_num,function,34,record-only,SYMBOL_CANDIDATE
analyze/analyze_ctx_switch.py,extract_core_num,function,92,record-only,SYMBOL_CANDIDATE
analyze/analyze_timing.py,set_percetile,function,14,record-only,SYMBOL_CANDIDATE
analyze/analyze_timing.py,get_e2e_checker,function,42,record-only,SYMBOL_CANDIDATE
analyze/analyze_timing.py,e2e_checker,function,44,record-only,SYMBOL_CANDIDATE
analyze/analyze_tp.py,set_tp,function,13,record-only,SYMBOL_CANDIDATE
analyze/analyze_tp.py,check_status,function,23,record-only,SYMBOL_CANDIDATE
analyze/analyze_tp.py,get_throughput_extracter,function,32,record-only,SYMBOL_CANDIDATE
analyze/analyze_tp.py,extract_throughput,function,34,record-only,SYMBOL_CANDIDATE
analyze/pattern.py,remove_nondisplay_keys,function,16,record-only,SYMBOL_CANDIDATE
analyze/pattern.py,get_trace_regexp,function,101,record-only,SYMBOL_CANDIDATE
analyze/pattern.py,get_log_regexp,function,126,record-only,SYMBOL_CANDIDATE
analyze/pattern.py,get_group_dict,function,149,record-only,SYMBOL_CANDIDATE
analyze/pattern.py,get_path_var_scaner,function,155,record-only,SYMBOL_CANDIDATE
analyze/pattern.py,path_var_scaner,function,156,record-only,SYMBOL_CANDIDATE
analyze/stat_num_exec.py,extract_num_exec,function,33,record-only,SYMBOL_CANDIDATE
analyze/stat_num_exec.py,extract_num_cores,function,65,record-only,SYMBOL_CANDIDATE
analyze/stat_num_exec.py,count_miss_comp,function,73,record-only,SYMBOL_CANDIDATE
analyze/stat_num_exec.py,test_mode,function,225,record-only,SYMBOL_CANDIDATE
analyze/stat_num_exec.py,get_scaner_warap,function,246,record-only,SYMBOL_CANDIDATE
analyze/stat_num_exec.py,scan_mode,function,259,record-only,SYMBOL_CANDIDATE
analyze/stat_num_exec.py,scaner_warp,function,249,record-only,SYMBOL_CANDIDATE
analyze/xlsl_e2e_lat_abla.py,scan_size,function,24,record-only,SYMBOL_CANDIDATE
analyze/xlsl_e2e_lat_abla.py,scan_bin,function,55,record-only,SYMBOL_CANDIDATE
analyze/xlsl_e2e_lat_abla.py,scan_tp,function,140,record-only,SYMBOL_CANDIDATE
