aux_scale_factor,e2e_latency,wsc_slack_ratio,temporal_rda_ratio,lateness_mode,filename,num_cores,n_ctx_switch,cum_time
6,0.09,0.75,0.05,,dis,310,257,0.113061361084365
6,0.09,0.75,0.05,,en,310,256,0.1123261246287401
6,0.09,0.75,0.05,,dis,315,261,0.1155671669637396
6,0.09,0.75,0.05,,en,315,263,0.1165274758037395
6,0.09,0.75,0.05,,dis,320,258,0.1138266071912399
6,0.09,0.75,0.05,,en,320,264,0.1162273792912395
6,0.09,0.75,0.05,,dis,340,308,0.1282762542681129
6,0.09,0.75,0.05,,en,340,296,0.1262656076343632
6,0.09,0.75,0.05,,dis,360,356,0.1407452643624862
6,0.09,0.75,0.05,,en,360,334,0.1380293909243616
6,0.09,0.75,0.05,,dis,380,393,0.1554800031262342
6,0.09,0.75,0.05,,en,380,367,0.1475274455449853
6,0.09,0.75,0.05,,dis,400,403,0.1546247280656093
6,0.09,0.75,0.05,,en,400,416,0.1597863880806086
6,0.09,0.75,0.05,,dis,405,412,0.1590061371481087
6,0.09,0.75,0.05,,en,405,413,0.1581058476106088
6,0.09,0.75,0.05,,dis,410,405,0.1554349886493592
6,0.09,0.75,0.05,,en,410,403,0.1542346025993593
6,0.09,0.75,0.05,,dis,415,409,0.1577757414468588
6,0.09,0.75,0.05,,en,415,409,0.1575956835393589
6,0.09,0.75,0.05,,dis,420,394,0.1502883334599849
6,0.09,0.75,0.05,,en,420,400,0.1528391538162345
6,0.09,0.75,0.05,,dis,440,398,0.1517738111968597
6,0.09,0.75,0.05,,en,440,399,0.1521189221862346
1,1.0,0.75,0.05,,dis,200,132,0.054407497716248
1,1.0,0.75,0.05,,en,200,133,0.0548126280081229
1,1.0,0.75,0.05,,dis,220,199,0.0784452283674947
1,1.0,0.75,0.05,,en,220,172,0.0709878300318707
1,1.0,0.75,0.05,,dis,240,277,0.1009224571537416
1,1.0,0.75,0.05,,en,240,287,0.1044936056524911
1,1.0,0.75,0.05,,dis,245,312,0.1103454876462403
1,1.0,0.75,0.05,,en,245,301,0.1083498458381156
1,1.0,0.75,0.05,,dis,250,312,0.1111707530556152
1,1.0,0.75,0.05,,en,250,316,0.1106755938099903
1,1.0,0.75,0.05,,dis,255,313,0.1139166361449898
1,1.0,0.75,0.05,,en,255,316,0.112941322479365
1,1.0,0.75,0.05,,dis,260,312,0.1103154779949903
1,1.0,0.75,0.05,,en,260,316,0.11307636590999
1,1.0,0.75,0.05,,dis,280,311,0.1121610715468651
1,1.0,0.75,0.05,,en,280,316,0.1134514865506149
4,0.09,0.75,0.05,,dis,285,260,0.10896504368874056
4,0.09,0.75,0.05,,en,285,265,0.11060056968186534
4,0.09,0.75,0.05,,dis,290,254,0.10551393379499104
4,0.09,0.75,0.05,,en,290,247,0.10444859117561618
4,0.09,0.75,0.05,,dis,295,260,0.11007540078499041
4,0.09,0.75,0.05,,en,295,307,0.12242437227436372
4,0.09,0.75,0.05,,dis,300,277,0.11429175678561483
4,0.09,0.75,0.05,,en,300,263,0.11102070479936528
4,0.09,0.75,0.05,,dis,305,298,0.11976851813873908
4,0.09,0.75,0.05,,en,305,294,0.11918332993936416
4,0.09,0.75,0.05,,dis,325,361,0.1386145791237365
4,0.09,0.75,0.05,,en,325,331,0.12953665962061275
4,0.09,0.75,0.05,,dis,335,375,0.1415705297718611
4,0.09,0.75,0.05,,en,335,365,0.1393648204049864
4,0.09,0.75,0.05,,dis,340,368,0.13738418342248668
4,0.09,0.75,0.05,,en,340,369,0.13745920755061167
4,0.09,0.75,0.05,,dis,345,372,0.13895969011311146
4,0.09,0.75,0.05,,en,345,377,0.14293596890373592
4,0.09,0.75,0.05,,dis,350,381,0.1431160268112359
4,0.09,0.75,0.05,,en,350,375,0.14124042360811115
4,0.09,0.75,0.05,,dis,355,368,0.13736917859686168
4,0.09,0.75,0.05,,en,355,373,0.14130044291061114
4,0.09,0.75,0.05,,dis,365,370,0.13889967081061147
4,0.09,0.75,0.05,,en,365,369,0.1372641448174867
4,0.09,0.75,0.05,,dis,385,364,0.13624381667498683
4,0.09,0.75,0.05,,en,385,367,0.13660393248998678
