Task,Interval,RSC,Slots,,,,,,,,,,,,
t1,"[15, 19]",25,2,,,,,,,,,,,,
t2,"[3, 12]",24,7,,,,,,,,,,,,
t3,"[0, 20]",10,4,,,,,,,,,,,,
t4,"[0, 7]",10,4,,,,,,,,,,,,
t5,"[0, 16]",10,8,,,,,,,,,,,,
t6,"[9, 20]",9,9,,,,,,,,,,,,
slot range,task count,resource allocation,,,slot range,TaskID,RscSize,,slot range,TaskID,RscSize,,slot range,TaskID,RscSize
[0-3),3,12,,,[0-3),3,12,,[0-3),3,10,,[0-3),3,12
[0-3),4,18,,,[0-3),4,12,,[0-3),4,10,,[0-3),4,15
[3-4),1,24,,,[3-4),1,24,,[3-6),1,24,,[3-4),1,24
[3-4),3,6,,,[3-4),3,6,,[3-6),3,4,,[3-4),3,4
[4-9),1,24,,,[4-10),1,24,,[6-9),1,24,,[4-9),1,24
[4-9),4,6,,,[4-10),4,6,,[6-9),4,4,,[4-9),4,4
[9-10),1,24,,,[10-11),2,10,,[9-10),1,24,,[9-10),1,24
[9-10),5,6,,,[10-11),4,12,,[9-10),5,4,,[9-10),5,4
[10-14),2,10,,,[10-11),5,8,,[10-14),2,10,,[10-11),2,10
[10-14),5,11,,,[11-14),2,10,,[10-14),4,10,,[10-11),4,15
[14-15),5,11,,,[11-14),5,10,,[10-14),5,9,,[10-11),5,4
[15-17),0,25,,,[14-15),5,10,,[14-15),5,9,,[11-14),2,10
[15-17),5,5,,,[15-16),0,25,,[15-17),0,25,,[11-14),5,13
[17-18),5,11,,,[15-16),5,5,,[15-17),5,4,,[14-15),5,13
,,,,,[16-17),0,25,,[17-20),5,9,,[15-17),0,25
,,,,,[17-20),5,10,,,,,,[15-17),5,4
,,,,,,,,,,,,,[17-18),5,13
