0,ID,Task (chain) names,Freq.,Flops on path (G),Expected Latency (ms),T release (ms),DDL (ms),Cores/Req.,Throuput factor (Spat.),Thread factor (Spat.),Var. factor (Tmp.),Min required cores,Timing_flag,Max required Cores,RDA./Req.,Resource Type,Pre-assigned,Priority,Criti_flag,Cbs_en,Trigger_mode,Parallel_type,Parallel_range,Parallel_range_prealloc
Traffic_light_detection,1,Traffic light detection,30,233.24,85.5,0,85.5,6,3,1,1,18,DDL,24,2,S,Y,192,H,N,event,Any,None,None
ImageBB,2,Image backbones,30,2391.886,65.56172289,0,65.56172289,73,3,1,1,219,DDL,261,14,S,Y,8,S,N,event,Any,None,None
MultiCameraFusion,3,Multi-camera fusion,30,329.614,9.034737328,65.56172289,74.59646022,73,3,1,1,219,DDL,261,14,S,N,16,S,N,N,Any,None,None
Pure_camera_path_head,4,Visual object detection,30,21.024,7.008,74.59646022,81.60446022,6,3,1,1,18,DDL,24,2,M,N,32,S,N,N,Upb,6,6
Prediction,5,Trajectory prediction,30,17.0769268,1.70769268,81.60446022,83.3121529,20,3,1,3,60,DDL,180,0,M,N,64,S,N,N,Upb,20,20
Planning,6,Path planing,30,1.70769268,1.70769268,83.3121529,85.01984558,2,3,1,1,6,DDL,6,0,M,N,128,H,N,N,Upb,2,2
Steering_speed,7,Steering and speed,240,0.24007721,0.48015442,85.01984558,85.5,1,3,1,1,3,DDL,6,1,M,N,192,H,N,event,Upb,2,1
Stereo_feature_enc,8,Stereo-feature encoder,20,178.674,55.06412679,0,55.06412679,7,2,1,1,14,DDL,18,2,S,N,8,S,N,event,Any,None,None
Semantic_segm,9,Semantic segmentation ,20,65.111,20.06604408,55.06412679,75.13017087,7,2,1,1,14,DDL,18,2,S,Y,16,S,N,N,Any,None,None
Lidar_based_3dDet,10,Lidar-based-detection,10,21.008,6.474289352,75.13017087,81.60446022,7,1,1,1,7,DDL,9,2,M,N,32,S,N,event,Any,None,None
Lane_drivable_area_det,11+12,Lane/drivable area(Aux),20,128.5636,39.93587321,55.06412679,95,7,2,6,1,84,RT,84,0,M,Y,0,S,Y,N,Any,None,None
Optical_Flow,13,Optical Flow(Aux),20,79.514,39.93587321,55.06412679,95,4,2,6,1,48,RT,48,0,M,N,0,S,Y,N,Any,None,None
Depth_estimation,14,Depth estimation(Aux),20,64.2818,39.93587321,55.06412679,95,4,2,6,1,48,RT,48,0,M,N,0,S,Y,N,Any,None,None
